cmip6-id, cmip6-label, cmip6-type
cmip6.ocean.grid::discretisation, Ocean > Grid::discretisation, detail-set
cmip6.ocean.grid::discretisation::discretisation:vertical, Ocean > Grid::discretisation::discretisation:vertical, detail-set
cmip6.ocean.grid::discretisation::discretisation:horizontal, Ocean > Grid::discretisation::discretisation:horizontal, detail-set
, , 
cmip6.ocean.key_properties::seawater_properties, Ocean > Key Properties::seawater Properties, detail-set
cmip6.ocean.key_properties::bathymetry, Ocean > Key Properties::bathymetry, detail-set
cmip6.ocean.key_properties::nonoceanic_waters, Ocean > Key Properties::nonoceanic Waters, detail-set
cmip6.ocean.key_properties::resolution, Ocean > Key Properties::resolution, detail-set
cmip6.ocean.key_properties::tuning_applied, Ocean > Key Properties::tuning Applied, detail-set
cmip6.ocean.key_properties::conservation, Ocean > Key Properties::conservation, detail-set
, , 
cmip6.ocean.timestepping_framework::toplevel:timestepping_attributes, Ocean > Timestepping Framework::toplevel:timestepping Attributes, detail-set
cmip6.ocean.timestepping_framework::toplevel:timestepping_tracers_scheme, Ocean > Timestepping Framework::toplevel:timestepping Tracers Scheme, detail-set
cmip6.ocean.timestepping_framework::toplevel:barotropic_solver_scheme, Ocean > Timestepping Framework::toplevel:barotropic Solver Scheme, detail-set
cmip6.ocean.timestepping_framework::toplevel:barotropic_momentum_scheme, Ocean > Timestepping Framework::toplevel:barotropic Momentum Scheme, detail-set
, , 
cmip6.ocean.lateral_physics.momentum::momentum:operator, Ocean > Lateral Physics > Momentum::momentum:operator, detail-set
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff, detail-set
cmip6.ocean.lateral_physics.momentum::momentum:operator, Ocean > Lateral Physics > Momentum::momentum:operator, detail-set
cmip6.ocean.lateral_physics.momentum::momentum:eddy_viscosity_coeff, Ocean > Lateral Physics > Momentum::momentum:eddy Viscosity Coeff, detail-set
cmip6.ocean.lateral_physics.tracers::tracers:operator, Ocean > Lateral Physics > Tracers::tracers:operator, detail-set
cmip6.ocean.lateral_physics.tracers::tracers:eddy_viscosity_coeff, Ocean > Lateral Physics > Tracers::tracers:eddy Viscosity Coeff, detail-set
cmip6.ocean.lateral_physics.tracers::tracers:eddy_induced_velocity, Ocean > Lateral Physics > Tracers::tracers:eddy Induced Velocity, detail-set
cmip6.ocean.lateral_physics.tracers::tracers:operator, Ocean > Lateral Physics > Tracers::tracers:operator, detail-set
cmip6.ocean.lateral_physics.tracers::tracers:eddy_viscosity_coeff, Ocean > Lateral Physics > Tracers::tracers:eddy Viscosity Coeff, detail-set
cmip6.ocean.lateral_physics.tracers::tracers:eddy_induced_velocity, Ocean > Lateral Physics > Tracers::tracers:eddy Induced Velocity, detail-set
, , 
cmip6.ocean.vertical_physics.boundary_layer_mixing::boundary_layer_mixing:details, Ocean > Vertical Physics > Boundary Layer Mixing::boundary Layer Mixing:details, detail-set
cmip6.ocean.vertical_physics.boundary_layer_mixing::boundary_layer_mixing:tracers, Ocean > Vertical Physics > Boundary Layer Mixing::boundary Layer Mixing:tracers, detail-set
cmip6.ocean.vertical_physics.boundary_layer_mixing::boundary_layer_mixing:momentum, Ocean > Vertical Physics > Boundary Layer Mixing::boundary Layer Mixing:momentum, detail-set
cmip6.ocean.vertical_physics.boundary_layer_mixing::boundary_layer_mixing:details, Ocean > Vertical Physics > Boundary Layer Mixing::boundary Layer Mixing:details, detail-set
cmip6.ocean.vertical_physics.boundary_layer_mixing::boundary_layer_mixing:tracers, Ocean > Vertical Physics > Boundary Layer Mixing::boundary Layer Mixing:tracers, detail-set
cmip6.ocean.vertical_physics.boundary_layer_mixing::boundary_layer_mixing:momentum, Ocean > Vertical Physics > Boundary Layer Mixing::boundary Layer Mixing:momentum, detail-set
cmip6.ocean.vertical_physics.interior_mixing::interior_mixing:details, Ocean > Vertical Physics > Interior Mixing::interior Mixing:details, detail-set
cmip6.ocean.vertical_physics.interior_mixing::interior_mixing:tracers, Ocean > Vertical Physics > Interior Mixing::interior Mixing:tracers, detail-set
