,
cmip5-component-property,cmip6-id
Basic Approximations,Ocean > Key Properties > General > Basic Approximations
,
Bathymetry > Bathymetry Type,Ocean > Key Properties > Bathymetry > Ocean Bathymetry Type
Bathymetry > Reference Date,Ocean > Key Properties > Bathymetry > Bathymetry Reference Dates
,
Horizontal Discretization > Pole Singularity Treatment,Ocean > Grid > Discretisation > Horizontal > Pole Singularity Treatment
Horizontal Discretization > Scheme Method,Ocean > Grid > Discretisation > Horizontal > Scheme
Horizontal Discretization > Staggering,Ocean > Grid > Horizontal Grid > Horizontal Grid Type
,
List Of Prognostic Variables,Ocean > Key Properties > General > Prognostic Variables
,
Model Family,Ocean > Key Properties > General > Model Family
,
Non- Oceanic Water > Isolated Seas Mixing,
Non- Oceanic Water > River Mouth Mixing,
,
Ocean Nudging > Momentum Damping,
Ocean Nudging > Momentum Damping > Lat Max,
Ocean Nudging > Momentum Damping > Lat Min,
Ocean Nudging > Momentum Damping > Lon Max,
Ocean Nudging > Momentum Damping > Lon Min,
Ocean Nudging > Momentum Damping > Lower Level,
Ocean Nudging > Momentum Damping > Upper Level,
Ocean Nudging > Tracers Damping,
Ocean Nudging > Tracers Damping > Applied To,
Ocean Nudging > Tracers Damping > Lat Max,
Ocean Nudging > Tracers Damping > Lat Min,
Ocean Nudging > Tracers Damping > Lon Max,
Ocean Nudging > Tracers Damping > Lon Min,
Ocean Nudging > Tracers Damping > Lower Level,
Ocean Nudging > Tracers Damping > Upper Level,
,
Sea Water > Equation Of State,Ocean > Key Properties > Seawater Properties > Seawater Eos Type
Sea Water > Freezing Point,Ocean > Key Properties > Seawater Properties > Ocean Freezing Point
Sea Water > Freezing Point Value,
Sea Water > Specific Heat,Ocean > Key Properties > Seawater Properties > Ocean Specific Heat
Sea Water > Specific Heat Value,
,
Time Stepping Framework > Baroclinic Momentum,
Time Stepping Framework > Barotropic Solver,
Time Stepping Framework > Time Step,Ocean > Timestepping Framework > Timestepping Attributes > Time Step
Time Stepping Framework > Tracers,
